scenario_name,game_type,coalition_id,v_value,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11
buldyrev2010_italy_case_study,protection,coalition_24,0.5,False,False,False,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_25,0.5,True,False,False,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_26,0.5,False,True,False,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_27,0.5,True,True,False,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_28,0.5,False,False,True,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_29,0.5,True,False,True,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_30,0.5,False,True,True,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_31,0.5,True,True,True,True,True,False,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_32,0.5,False,False,False,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_33,0.5,True,False,False,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_34,0.5,False,True,False,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_35,0.5,True,True,False,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_36,0.5,False,False,True,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_37,0.5,True,False,True,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_38,0.5,False,True,True,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_39,0.5,True,True,True,False,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_40,0.5,False,False,False,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_41,0.5,True,False,False,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_42,0.5,False,True,False,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_43,0.5,True,True,False,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_44,0.5,False,False,True,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_45,0.5,True,False,True,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_46,0.5,False,True,True,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_47,0.5,True,True,True,True,False,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_48,0.5,False,False,False,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_49,0.5,True,False,False,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_50,0.5,False,True,False,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_51,0.5,True,True,False,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_52,0.5,False,False,True,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_53,0.5,True,False,True,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_54,0.5,False,True,True,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_55,0.5,True,True,True,False,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_56,0.5,False,False,False,True,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_57,0.5,True,False,False,True,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_58,0.5,False,True,False,True,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_59,0.5,True,True,False,True,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_60,0.5,False,False,True,True,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_61,0.5,True,False,True,True,True,True,False,False,False,False,False,False
buldyrev2010_italy_case_study,protection,coalition_62,0.5,False,True,True,True,True,True,False,False,False,False,False,False
